21:16:00,EURUSD,5,put,b
21:19:00,EURUSD,5,put,b
21:22:00,EURUSD,5,call,b
21:25:00,EURUSD,5,call,b
21:28:00,EURUSD,5,call,b
21:31:00,EURUSD,5,put,b
21:34:00,EURUSD,5,call,b
21:37:00,EURUSD,5,call,b
21:40:00,EURUSD,5,call,b
21:43:00,EURUSD,5,put,b
21:46:00,EURUSD,5,put,b
21:49:00,EURUSD,5,call,b
21:52:00,EURUSD,5,call,b
21:55:00,EURUSD,5,put,b
22:00:00,EURUSD,5,call,b
22:03:00,EURUSD,5,put,b
22:06:00,EURUSD,5,call,b
22:09:00,EURUSD,5,put,b
22:12:00,EURUSD,5,call,b
22:15:00,EURUSD,5,call,b
22:18:00,EURUSD,5,call,b
22:21:00,EURUSD,5,put,b
22:24:00,EURUSD,5,call,b
22:27:00,EURUSD,5,call,b
22:30:00,EURUSD,5,call,b
22:33:00,EURUSD,5,call,b
22:36:00,EURUSD,5,call,b
22:39:00,EURUSD,5,put,b
22:42:00,EURUSD,5,call,b
22:45:00,EURUSD,5,put,b
22:48:00,EURUSD,5,call,b
22:51:00,EURUSD,5,call,b
22:54:00,EURUSD,5,call,b
23:00:00,EURUSD,5,call,b
23:03:00,EURUSD,5,call,b
23:06:00,EURUSD,5,put,b
23:09:00,EURUSD,5,call,b
23:12:00,EURUSD,5,put,b
